destination_id,destination,country,popular_season
1,South Vanessaland,French Southern Territories,Spring
2,West Jenniferfurt,Pitcairn Islands,Autumn
3,Bonillaside,Tanzania,Summer
4,New Wendyport,Syrian Arab Republic,Summer
5,Port Cameron,Wallis and Futuna,Spring
6,Waltermouth,Sao Tome and Principe,Autumn
7,West Courtneychester,San Marino,Winter
8,Coleton,Botswana,Spring
9,South Stanley,South Africa,Spring
10,Brittanyview,Georgia,Winter
11,Dennisfort,Antarctica (the territory South of 60 deg S),Winter
12,Woodton,Benin,Autumn
13,Hannachester,Armenia,Winter
14,East Lindsayshire,Thailand,Spring
15,West James,Central African Republic,Summer
16,Garciaville,Korea,Summer
17,Gonzalezland,Marshall Islands,Autumn
18,South Dennis,Algeria,Summer
19,Turnerbury,Indonesia,Spring
20,Port Melissamouth,Guatemala,Winter
